{157}songlingcheshangren 送灵澈上人
{10}songyuanershianxi 送元二使安西
{87}suhuicongzhi 溯洄从之
{85}suyoucongzhi 溯游从之
{565}suijunzhidaoyelangxi 随君直到夜郎西
{374}suiyanyouyuliang 岁晏有余粮
{256}suoweiyiren 所谓伊人
{310}suoyidongxinrenxing 所以动心忍性
{175}tanqinfuchangxiao 弹琴复长啸
{204}tanyingkongrenxin 潭影空人心
{220}tengshechengwu 腾蛇乘雾
{210}tiposhansihouchanyuan 题破山寺后禅院
{518}tixieyulongweijunsi 提携玉龙为君死
{266}tiandahan 天大寒
{184}tianguangyunyinggongpaihuai 天光云影共徘徊
{397}tianjiashaoxianyue 田家少闲月
{528}tianjiexiaoyurunrusu 天街小雨润如酥
{517}tianjingshaqiusi 天净沙秋思
{585}tianyaruobilin 天涯若比邻
{511}tiaotiaoqianniuxing 迢迢牵牛星
{1}tiemabingherumenglai 铁马冰河入梦来
{381}tingqixiangguyan 听其相顾言
{463}tingquwashengyipian 听取蛙声一片
{269}tingxiarujishuikongming 庭下如积水空明
{367}tongquechunshensuoerqiao 铜雀春深锁二乔
{587}tongshihuanyouren 同是宦游人
{392}tongzhixiehujiang 童稚携壶浆
{118}tuyouxianyuqing 徒有羡鱼情
{203}wanlaicijuji 万籁此俱寂
{493}wanlisongxingzhou 万里送行舟
{133}wanwushengguanghui 万物生光辉
{79}wanzaishuizhongdi 宛在水中坻
{84}wanzaishuizhongyang 宛在水中央
{74}wanzaishuizhongzhi 宛在水中沚
{343}wangbaixingku 亡百姓苦
{126}wangdongtingzengzhangchengxiang 望洞庭赠张丞相
{348}wangxidu 望西都
{564}wangyue 望岳
{57}weichentongfufuzhuangciyijizhi 为陈同甫赋壮词以寄之
{9}weichengzhaoyuyiqingchen 渭城朝雨浥轻尘
{300}weiwoye 畏我也
{182}weiyouyuantouhuoshuilai 为有源头活水来
{627}wendaolongbiaoguowuxi 闻道龙标过五溪
{338}wenguerzhixin 温故而知新
{544}wenjunhenenger 问君何能尔
{183}wenqunadeqingruxu 问渠那得清如许
{550}wenshuojimingjianrisheng 闻说鸡鸣见日升
{567}wenwangchanglingzuoqianlongbiaoyaoyouciji 闻王昌龄左迁龙标遥有此寄
{380}wenzheweibeishang 闻者为悲伤
{101}wogeyuepaihuai 我歌月徘徊
{566}wojichouxinyumingyue 我寄愁心与明月
{100}wowuyinglingluan 我舞影零乱
{436}wuhu 呜呼
{242}wukenaihehualuoqu 无可奈何花落去
{434}wuluduposhoudongsiyizu 吾庐独破受冻死亦足
