{2469}danzhuangnongmozongxiangyi 淡妆浓抹总相宜
{2696}dangchunnaifasheng 当春乃发生
{2239}dangguamuxiangkan 当刮目相看
{2807}dangjuzhemi 当局者迷
{1027}dangnianbukenjiachunfeng 当年不肯嫁春风
{784}dangnianyanzizhihechu 当年燕子知何处
{780}dangshigongwoshanghuaren 当时共我赏花人
{576}dangshilinglue 当时领略
{294}dangshiqixijishenmeng 当时七夕记深盟
{1162}dangshiwangshamaoyanshou 当时枉杀毛延寿
{303}dangshizhidaoshixunchang 当时只道是寻常
{1616}dangxiongshengcengyun 荡胸生层云
{2946}daobushiyi 道不拾遗
{2299}daohuaxianglishuofengnian 稻花香里说丰年
{3374}daoshiwuqingqueyouqing 道是无晴却有晴
{582}daowang 悼亡
{1477}daoxiangfansilankeren 到乡翻似烂柯人
{1327}daoyizhenshangfuhailai 捣衣砧上拂还来
{1058}daozeichuyupinqiong 盗贼出于贫穷
{3005}dedaoduozhu 得道多助
{2350}delaiquanbufeigongfu 得来全不费功夫
{3482}deshicunxinzhi 得失寸心知
{1625}dengfeilaifeng 登飞来峰
{1489}denggao 登高
{2212}denggaobizibei 登高必自卑
{2023}dengguanquelou 登鹳雀楼
{1757}dengguanquelou 登鹳鹊楼
{739}denghuoyihuanghun 灯火已黄昏
{1357}dengkuaige 登快阁
{2836}dengshanzeqingmanyushan 登山则情满于山
{2993}dengtaishanerxiaotianxia 登泰山而小天下
{1132}dengxianbianquegurenxin 等闲变却故人心
{996}dengxianlibieyixiaohun 等闲离别易消魂
{2484}dengxianshidedongfengmian 等闲识得东风面
{1726}dengyouzhoutaige 登幽州台歌
{1167}dihuaiguyingwuyanse 低徊顾影无颜色
{557}dihuaizenwang 低徊怎忘
{1416}dihuikuirenzi 低回愧人子
{507}dikongjie 滴空阶
{2995}dilibururenhe 地利不如人和
{1517}diqihu 低绮户
{159}ditou 低头
{2764}ditousiguxiang 低头思故乡
{616}diyizhejihuayanghualuoqun 第一折技花样画罗裙
{362}dianbinshuangwei 点鬓霜微
{651}diandibajiaoxinyusui 点滴芭蕉心欲碎
{779}dianjianrujinwuyiban 点检如今无一半
{39}dianjiangchun 点绛唇
{2657}dianshuiqingtingkuankuanfei 点水蜻蜓款款飞
{554}diaolanquchu 雕阑曲处
{1509}diaolanyuqiyingyouzai 雕栏玉砌应犹在
{483}dielianhua 蝶恋花
{794}dingbufu 定不负
{767}dingfengbo 定风波
{771}dingfengboman 定风波慢
{926}dingningshenyi 丁宁深意
{569}dingsichongyangqiansanri 丁巳重阳前三日
{19}dingzhijinxi 定知今夕
{3375}dongbianrichuxibianyu 东边日出西边雨
{219}dongfengbujiechou 东风不解愁
{2545}dongfengbuyuzhoulangbian 东风不与周郎便
{3298}dongfengwulibaihuacan 东风无力百花残
{3195}dongfengyefanghuaqianshu 东风夜放花千树
{2506}dongleijingsunyuchouya 冻雷惊笋欲抽芽
{2970}dongrutuotu 动如脱兔
